SECURITY,MATURITY DT,AHL,ALFA,BCAP,BMA,C&II,CEL,CMKA,HCPL,FFIAP
GOPIS-VRR,20FEB24,100.3,100.2,100.1,100.2,100.15,100,100.1,100.1,100.14
GOPIS-FRR,20FEB24,98,98,98.'i8,98,98,98,98.5,98,98.08
GOPIS-VRR,08MAR24,101.6,101.7,101.65,101.65,101.6,101.55,101.6,101.65,101.63
GOPIS-FRR,08MAR24,100.25,100.25,99.46,100.2,100.2,100.25,99.45,100.25,100.1
GOP1S-VRR,17APR24,101.5,101.55,101.5,101.4,101.55,101.5,101.4,101.48,101.49
GOP1S-FRR,17APR24,100.1,100.25,99.74,100.1,100.1,100.1,99.7,100.1,100.04
GOP1S-VRR,22MAY24,100.85,101.1,100.75,100.8,101,101.1,100.6,100.9,100.9
GOP1S-FRR,22MAY24,100,100,99.74,100,100,100,99.7,100,99.96
GOPIS-VRR,26JUN24,100.3,100.6,100.3,100.2,100.3,100.3,100.25,100.3,100.29
GOPIS-FRR,26JUN24,100.6,99.5,99.64,100.25,100.25,100.25,99.7,100.2,100.05
GOPIS-VRR,12JUL24,100.5,100.5,100.4,100.4,100.45,100.45,100.4,100.4,100.43
GOPIS-FRR,12JUL24,100,99.5,100.14,99,100,100,100.15,100,99.94
GOP1S-VRR,07AUG24,101,101.4,101.2,101.35,101.4,101.35,101.1,101.2,101.27
GOP1S-FRR,07AUG24,100,100,99.96,100,100,100,100,100,100
GOP1S-VRR,20SEP24,99.99,99.95,99.9,100,100,100,99.95,100,99.98
GOP1S-FRR,20SEP24,100,100.5,100.83,100,100.25,100,100.9,100,100.26
GOPIS-VRR,090CT24,101,101.1,100.9,100.35,101.1,100.65,100.7,101,100.89
GOPIS-FRR,090CT24,100.1,100.5,100.'i4,100.4,100.5,100.5,100.5,100.4,100.47
GOPIS- 20,30APR25,96.5,96.5,96.45,96.45,96.5,96.5,96.5,96.45,96.48
GOPIS- 21,29MAY25,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4
G0P1S- 22,24JUN25,99.2,99.15,99.1,99.15,99.1,99,99.1,99.1,99.12
GOP1S-VRR,29JUL25,99.5,99.45,99.45,99.45,99.45,99.5,99.45,99.45,99.46
GOP1S-FRR,29JUL25,83,83,84.43,83,83.5,83.5,84.15,85.75,83.6
GOP1S-VRR,09DEC25,99.7,99.7,99.7,99.7,99.7,99.75,99.7,99.7,99.7
GOPIS-VRR,05JAN26,99,99,99,99,99,99,99,99,99
GOPIS-FRR,20JAN26,83,81.7,84.04,84.'i0,84,81.75,85.1,88,83.73
GOPIS-FRR,17APR26,98.5,97.57,100.05,98,99.5,99.5,100.9,100,99.26
GOPIS-FRR,26JUN26,101,101,100.91,99.75,101,100.9,101,101,100.97
GOP1S-VRR,12JUL26,100,100,100,100,100,100,100,100,100
GOP1S-VRR,060CT26,99.4,99.35,99.45,99.4,99.4,99.5,99.4,99.45,99.42
GOP1S-FRR,060CT26,83,83,82.45,84,84,82,82,89,83.08
GOP1S-VRR,290CT26,99.2,99.25,99.25,99.25,99.2,99.15,99.2,99.25,99.23
GOPIS-FRR,1'iDEC26,85,85,86.15,84,86,86,89.5,90.25,86.28
GOPIS-VRR,27APR27,99.5,99.35,99.35,99.35,99.35,99.4,99.35,92.35,99.36
GOPIS-FRR,27APR27,87,85.9,89.66,89,89,88.75,91.5,99.4,89.15
GOPIS-VRR,260CT27,99.9,99.75,99.75,99.75,99.75,99.7,99.75,99.7,99.74
GOP1S-FRR,16N0V27,87.5,86.15,90.49,88,90,89,90.45,97,89.24
"
GOP1S-FRR","26JUN28
","1 00. 00
","99.  90
",1 00. 00,99. 90,"100. 40
",100.25,"100. 00
",100. 00,100.03
GOPIS-FRR,47016,100,100.5,102.61,100.3,100.5,100,102.9,100,100.65
