7:03,31-Mar-23,GOP,Ijarah,Sukuk,Revaluation,PK99999,PKISRV,,
,,,,,,,,,
GOP,IJARAH,SUKUK:-,<0#PKISRV=>,<PKNOTES>,,,,,
,AHL,BMA,CEL,CMKA,ICON,IONE,MCPL,VCPL,Avg Rate
================================================================================,,,,,,,,,
GOPISV-20-02-2024,0,98.75,98.25,98.25,97.5,99,99.75,99.75,98.8
GOPISF-20-02-2024,0,98,98,97.75,97,98,98,98,97.95
GOPISV-08-03-2024,0,100.1,100.25,100.2,100,100.2,100.2,100.3,100.19
GOPISF-08-03-2024,0,100.3,100.3,100.3,99.5,100.3,100.3,100.2,100.28
GOPIS-30-04-2025,0,96.5,96.5,96,96.5,96.5,96.5,96.5,96.5
GOPIS-29-05-2025,0,99.3,99.3,98.5,98.5,99.45,99.3,99,99.08
GOPIS-24-06-2025,0,99.25,99.4,98.5,98.5,99.4,99.4,99,99.11
GOPISV-29-07-2025,0,99.4,99.5,99.25,99.25,99.6,99.5,99.35,99.4
GOPISF-29-07-2025,0,86,86,85,86,86.5,86,86,86
GOPISV-09-12-2025,0,99.75,99.85,99.25,99.5,99.9,99.75,99.75,99.72
GOPISV-05-01-2026,0,98,98,96,96,98,97,97,97.2
GOPISF-20-01-2026,0,87,88,80.25,94,90,89.5,89.5,88.8
GOPISV-06-10-2026,0,99.25,99.5,99.5,99,98.9,99.2,99.2,99.23
GOPISF-06-10-2026,0,89,89,87,93,90,89,89,89.2
GOPISV-29-10-2026,0,99.3,99.25,99.4,98.5,99.2,98.75,98.75,99.05
GOPISF-15-12-2026,0,91,91,89.5,90,92,90.5,90.5,90.6
GOPISF-27-04-2027,0,93.5,90,92,94,93.5,93.5,93.5,93.2
GOPISV-27-04-2027,0,99,98.5,99.75,99.25,98.5,98.5,98.5,98.75
GOPISV-26-10-2027,0,99,99.1,99.75,99,99.1,99,98.5,99.04
GOPISF-16-11-2027,0,97,97.25,91,97,97,97,96.5,96.9
