FMA Code,SBP Code,Price,Change,Date,
GOPIS-20-30-04-2025,GIS (VRR) -18,100.16,0.00,31-10-2024,
GOPIS-21-29-05-2025,GIS (VRR) -19,100.98,0.00,31-10-2024,
GOPIS-22-24-06-2025,GIS (VRR) -20,101.06,0.02,31-10-2024,
GOPIS-23-29-07-2025,GIS (VRR) -21,102.14,0.03,31-10-2024,
GOPIS-24-29-07-2025,GIS (FRR) -04,95.92,0.27,31-10-2024,
GOPIS-25-09-12-2025,GIS (VRR) -22,101.05,0.02,31-10-2024,
GOPIS-26-20-01-2026,GIS (FRR) -07,95.22,-0.06,31-10-2024,
GOPIS-27-06-10-2026,GIS (FRR) -08,94.98,0.08,31-10-2024,
GOPIS-28-06-10-2026,GIS (VRR) -23,101.83,0.21,31-10-2024,
GOPIS-29-29-10-2026,GIS (VRR) -24,101.84,0.12,31-10-2024,
GOPIS-30-15-12-2026,GIS (FRR) -11,98.56,-0.07,31-10-2024,
GOPIS-31-27-04-2027,GIS (VRR) -25,102.70,-0.07,31-10-2024,
GOPIS-32-27-04-2027,GIS (FRR) -12,99.51,0.21,31-10-2024,
GOPIS-33-26-10-2027,GIS (VRR) - 26,102.44,0.01,31-10-2024,
GOPIS-34-16-11-2027,GIS (FRR) - 14,99.07,-0.06,31-10-2024,
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.96,0.20,31-10-2024,
GOPIS-43-17-04-2026,GIS (FRR) - 21,107.21,-0.07,31-10-2024,
GOPIS-48-26-06-2026,GIS (FRR) - 24,108.40,0.03,31-10-2024,
GOPIS-54-12-07-2026,GIS (VRR) - 36,102.65,0.16,31-10-2024,
GOPIS-55-26-06-2028,GIS (VRR) - 34,105.89,0.24,31-10-2024,
GOPIS-61-20-09-2028,GIS (FRR) - 31,109.95,0.28,31-10-2024,
GOPIS-64-04-12-2024,GIS (VRR) - 40,100.83,0.01,31-10-2024,
GOPIS-65-04-12-2026,GIS (VRR) - 41,102.56,0.03,31-10-2024,
GOPIS-66-04-12-2028,GIS (VRR) - 42,104.19,-0.10,31-10-2024,
GOPIS-67-04-12-2026,GIS (FRR) - 33,106.58,0.00,31-10-2024,
GOPIS-68-04-12-2028,GIS (FRR) - 34,108.81,0.20,31-10-2024,
