,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,98.1,98.17,98.19,98.1,97.87,97.75,97.94,97.9,,98.01
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,98,98.08,98.13,98.09,97.86,97.75,97.89,97.9,,97.97
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,97.9,98.52,98.49,98.44,98.43,98.05,98.38,98.4,,98.37
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,97.8,98.18,98.35,98.25,98.35,98.1,98.28,98.18,,98.22
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,97.7,98.13,98.19,98.35,98.42,98.35,98.32,98.2,,98.26
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.3,98.76,98.8,98.7,98.77,98.1,98.48,98.7,,98.62
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.05,98.21,98.59,98.22,98.21,98.1,98.13,98.2,,98.18
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.15,98.25,98.47,98.25,98.36,98.15,98.37,98.3,,98.28
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.47,98.22,98.36,98.36,98.38,98.15,98.35,98.35,,98.34
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,98.02,98.18,98.32,98.25,98.42,98.15,98.28,98.4,,98.26
PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,99.85,99.91,99.89,99.88,99.89,99.85,99.9,98.86,,99.88
PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,98.21,97.83,98.35,98.37,98.38,98.55,98.31,98.3,,98.32
PIB-FRB-13,22-Oct-20,22-Oct-25,Quarterly,97,98.54,98.57,98.4,98.39,98.35,98.43,98.4,,98.42
PIB-FRB-14,22-Oct-20,22-Oct-30,Quarterly,94.82,95.33,95.4,95,94.6,95,94.95,94.65,,94.96
PIB-FRB-15,6-May-21,6-May-26,Half-Yearly,98.37,98.5,98.58,98.31,98.65,98.65,98.58,98.4,,98.51
PIB-FRB-16,7-Oct-21,7-Oct-24,Quarterly,99.66,99.66,99.66,99.66,99.65,99.64,99.65,99.66,,99.66
PIB-FRB-17,7-Apr-22,7-Apr-25,Quarterly,99.1,99.21,99.19,99.13,99.14,99.11,99.13,99.12,,99.14
PIB-FRB-18,8-Sep-22,8-Sep-25,Quarterly,98.65,98.86,98.86,98.81,98.82,98.74,98.8,98.8,,98.81
PIB-FRB-19,8-Sep-22,8-Sep-24,Quarterly,99.58,99.56,99.64,99.48,99.6,99.54,99.55,99.54,,99.56
PIB-FRB-20,4-Nov-21,4-Nov-31,Half-Yearly,95.5,95.52,95.56,95.54,95.38,95.69,95.52,95.4,,95.51
PIB-FRB-21,17-Nov-22,17-Nov-27,Half-Yearly,97.05,97.39,97.4,97.15,97.19,97.4,97.41,97.18,,97.29
PIB-FRB-22,9-Feb-23,9-Feb-25,Quarterly,99.11,99.11,99.17,99.09,99.02,99.1,99.1,99.05,,99.09
PIB-FRB-23,9-Feb-23,9-Feb-26,Quarterly,98.39,98.33,98.49,98.5,98.52,98.52,98.49,98.5,,98.48
PIB-FRB-24,6-Apr-23,6-Apr-25,Quarterly,98.95,98.85,99,98.74,98.81,98.83,98.85,98.86,,98.86
PIB-FRB-25,6-Apr-23,6-Apr-28,Semiannually,97,97.09,97.12,97.14,97.14,97.19,97.14,97,,97.11
PIB-FRB-26,10-Aug-23,10-Aug-28,Semiannually,96.35,96.36,96.41,96.26,96.41,96.54,96.47,96.15,,96.38
PIB-FRB-27,21-Sep-23,21-Sep-25,Quarterly,98.4,98.49,98.53,98.49,98.3,98.46,98.5,98.35,,98.45
PIB-FRB-28,21-Sep-23,21-Sep-26,Quarterly,98.05,97.87,98.04,98.02,98.01,98.06,98.01,98,,98.02
PIB-FRB-29,21-Sep-23,21-Sep-28,Semiannually,96.15,96.3,96.41,96.2,96.35,96.49,96.35,96.14,,96.29
PIB-FRB-30,19-Oct-23,19-Oct-26,Quarterly,98.13,97.8,98,97.78,97.97,98.13,97.89,97.95,,97.96
PIB-FRB-31,19-Oct-23,19-Oct-28,Semiannually,96.7,96.92,96.95,96.93,96.93,96.98,96.93,96.75,,96.90
PIB-FRB-32,14-Dec-23,14-Dec-28,Semiannually,96.25,96.53,96.67,96.51,96.61,96.53,96.56,96.55,,96.55
PIB-FRB-33,14-Dec-23,14-Dec-33,Semiannually,94.3,94.78,94.97,94.85,95,94.59,94.89,94.99,,94.85
PIB-FRB-34,7-Feb-24,7-Feb-29,Semiannually,96.3,96.03,96.17,96.01,96.03,96.03,96.03,96,,96.05
PIB-FRB-35,7-Feb-24,7-Feb-34,Semiannually,94.55,94.32,94.55,94.23,94.14,94.32,94.32,94.2,,94.32
PIB-FRB-36,18-Apr-24,18-Apr-29,Semiannually,96.82,96.86,96.87,96.87,96.87,96.87,96.87,96,,96.86
PIB-FRB-37,18-Apr-24,18-Apr-34,Semiannually,94.35,94.64,94.91,95.02,95.03,94.65,94.84,94.5,,94.76
