, GOP IJARAH SUKUK REVALUATION                                                   ,,,,,,,,,
 ,23-Sep-24,PK99999            PKISRV,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
DSPLY_NAME,MATUR_DATE,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1
SECURITY  ,MATURITY,  AHL     , ALFA     ,  C&M     ,  CEL     , ICON     ,IONE      ,  PCPL    ,  VCPL    ,AVG. RATE
GOPIS-VRR,9-Oct-24, 100.10 , 100.15 , 100.15 , 100.10 , 100.25 , 100.25 , -   , 100.24 , 100.18 
GOPIS-FRR,9-Oct-24, 100.25 , 100.20 , 100.20 , 100.25 , 100.25 , 100.20 , -   , 100.25 , 100.23 
GOPIS-VRR,4-Dec-24, 101.60 , 100.35 , 100.70 , 100.70 , 100.70 , 100.80 , -   , 100.50 , 100.68 
GOPIS-VRR,30-Apr-25, 99.00 , 100.00 , 99.37 , 99.25 , 100.00 , 99.45 , -   , 99.75 , 99.56 
GOPIS-VRR,29-May-25, 99.50 , 100.75 , 100.00 , 100.20 , 100.50 , 99.60 , -   , 100.50 , 100.16 
GOPIS-VRR,24-Jun-25, 99.35 , 100.60 , 100.00 , 99.65 , 100.00 , 99.80 , -   , 100.50 , 99.99 
GOPIS-VRR,29-Jul-25, 101.00 , 101.50 , 101.25 , 101.25 , 101.25 , 101.15 , -   , 102.25 , 101.28 
GOPIS-FRR,29-Jul-25, 93.50 , 93.00 , 93.80 , 94.00 , 93.50 , 90.55 , -   , 94.00 , 93.56 
GOPIS-VRR,9-Dec-25, 101.00 , 101.00 , 100.85 , 100.60 , 100.90 , 100.50 , -   , 101.50 , 100.87 
GOPIS-VRR,5-Jan-26, 99.00 , 101.00 , 99.00 , 99.00 , 99.80 , 99.25 , -   , 100.75 , 99.56 
GOPIS-FRR,20-Jan-26, 93.30 , 93.00 , 92.60 , 92.00 , 93.00 , 90.00 , -   , 93.00 , 92.72 
GOPIS-FRR,17-Apr-26, 105.00 , 105.00 , 105.00 , 102.00 , 104.00 , 101.50 , -   , 103.50 , 103.90 
GOPIS-FRR,26-Jun-26, 106.00 , 106.00 , 106.00 , 106.00 , 104.50 , 105.75 , -   , 106.50 , 105.95 
GOPIS-VRR,12-Jul-26, 100.20 , 103.00 , 101.25 , 102.25 , 101.25 , 100.50 , -   , 103.00 , 101.65 
GOPIS-VRR,6-Oct-26, 101.00 , 101.00 , 101.00 , 101.80 , 102.00 , 101.85 , -   , 102.00 , 101.53 
