Revaluation,Rates,for,T-Bills/PIBs/FIBs,Holding,APPLICABLE,FOR,2-Nov-23,,,,
,,,,,,,,,,,
Note:Updation,of,Page/RICs,depends,on,data,availablity,from,source.<ALERTPKRFIX>,Info,,
TENOR,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,FMAP,,
0-7days,21.8,0,21.9,21.8,21.9,21.75,21.85,21.9,21.85,,
,,,,,,,,,,,
8-15days,21.7,0,21.85,21.75,21.9,21.7,21.9,21.9,21.82,,
16-30days,21.7,0,21.8,21.7,21.75,21.75,21.8,21.75,21.75,,
31-60days,21.7,0,21.8,21.65,21.8,21.7,21.75,21.8,21.75,,
61-90days,21.65,0,21.9,21.65,21.8,21.65,21.8,21.8,21.74,,
,,,,,,,,,,,
91-120days,21.6,0,21.9,21.7,21.85,21.68,21.8,21.85,21.78,,
121-180days,21.65,0,21.85,21.7,21.9,21.7,21.85,21.85,21.79,,
181-270days,21.7,0,21.8,21.7,21.8,21.7,21.8,21.85,21.76,,
271-365days,21.75,0,21.8,21.7,21.7,21.7,21.75,21.75,21.73,,
,,,,,,,,,,,
2years,19.3,0,19.5,19.5,19.4,19.4,19.4,19.4,19.42,,
3years,17.8,0,17.8,18,17.85,17.7,17.85,17.8,17.82,,
4years,16.5,0,15.5,15.6,15.45,15.4,15.6,15.5,15.53,,
5years,16.25,0,15.45,15.5,15.35,15.4,15.45,15.4,15.44,,
,,,,,,,,,,,
6years,16.1,0,15.4,15.4,15.25,15.4,15.4,15.3,15.38,,
7years,15.8,0,15.35,15.4,15.2,15.35,15.35,15.3,15.35,,
8years,15.7,0,15.25,15.3,15.15,15.3,15.3,15.3,15.29,,
9years,15.6,0,15.15,15.2,15.1,15.2,15.2,15.2,15.19,,
,,,,,,,,,,,
10years,15.4,0,15.1,15.2,15.05,15.15,15.15,15.1,15.14,,
15years,15.1,0,15,15.1,15,15.05,15.05,15,15.04,,
20years,15,0,15,15,15,15.05,15,15,15,,
