11:10,02-Oct-23,FINANCIAL,MARKET,ASSOCIATION,PK01079,PKRV,,,,
Revaluation,Rates,for,T-Bills/PIBs/FIBs,Holding,APPLICABLE,FOR,03-Oct-23,,,
Note:Updation,of,Page/RICs,depends,on,data,availablity,from,source.<ALERTPKRFIX>,,
,,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,Avg Rate
,0-7days,21.4,21.7,0,21.75,21.6,21.5,0,21.5,21.58
,8-15days,21.7,21.85,0,21.9,21.75,21.9,0,21.9,21.83
,16-30days,21.9,22,0,22,21.8,22,0,21.75,21.91
,31-60days,22.1,22.25,0,22.1,22.15,22.1,0,22.1,22.13
,61-90days,22.38,22.4,0,22.4,22.35,22.38,0,22.37,22.38
,91-120days,22.65,22.8,0,22.7,22.75,22.75,0,22.7,22.73
,121-180days,22.75,22.85,0,22.8,22.8,22.8,0,22.85,22.81
,181-270days,22.8,22.9,0,22.85,22.85,22.85,0,22.9,22.86
,271-365days,22.9,22.95,0,22.9,22.9,22.9,0,22.9,22.91
,2years,20,20,0,20.2,20.1,20,0,20.1,20.07
,3years,19.2,19.1,0,19.2,19.1,19.1,0,19.1,19.13
,4years,17.9,17.5,0,18.45,17.5,18.5,0,17.65,17.92
,5years,17.23,17,0,17.2,17.1,17.2,0,17.1,17.14
,6years,17,16.85,0,16.95,16.75,17,0,16.6,16.86
,7years,16.95,16.75,0,16.8,16.6,17,0,16.4,16.75
,8years,16.85,16.6,0,16.6,16.3,17,0,16.3,16.61
,9years,16.75,16.4,0,16.4,16.15,16.2,0,16.2,16.35
,10years,16.5,16.25,0,16.25,16,16.05,0,16,16.18
,15years,16,15.25,0,15.25,15.35,15.35,0,15.35,15.43
,20years,15.5,15.25,0,15.25,15.35,15.35,0,15.35,15.34
