PKRV 4-July-2023,,,,,,,,,,,
,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,Max,Min,Avg rate
1wk,22.1,21.9,22.10,22.25,22.2,22.15,0,22.2,22.25,0,22.11
2wk,22.25,22.05,22.20,22.25,22.15,22.25,0,22.15,22.25,0,22.18
1s,22.4,22.25,22.30,22.3,22.3,22.4,0,22.3,22.4,0,22.31
2s,22.5,22.5,22.60,22.55,22.6,22.5,0,22.6,22.6,0,22.54
3s,22.65,22.85,22.80,22.75,22.8,22.7,0,22.7,22.85,0,22.73
4s,22.8,22.9,22.85,22.9,22.8,22.85,0,22.8,22.9,0,22.83
6s,22.8,22.92,22.90,22.9,22.85,22.9,0,22.85,22.92,0,22.87
9s,22.9,22.94,22.95,22.9,22.9,22.95,0,22.9,22.95,0,22.92
1y,22.9,22.95,22.95,22.9,22.95,22.95,0,22.95,22.95,0,22.93
2y,19.5,19.6,19.75,19.3,19.5,19.7,0,19.5,19.75,0,19.52
3y,18.9,18.95,18.90,18.95,18.9,18.9,0,18.9,18.95,0,18.91
4y,15.7,16.7,16.50,15.95,15.85,16.1,0,15.85,16.7,0,15.99
5y,15.9,15.8,16.00,15.9,15.75,15.85,0,15.75,16,0,15.83
6y,15.8,15.75,15.60,15.5,15.5,15.5,0,15.6,15.8,0,15.58
7y,15.75,15.5,15.50,15.3,15.45,15.5,0,15.5,15.75,0,15.46
8y,15.7,15.35,15.40,15.25,15.3,15.3,0,15.3,15.7,0,15.32
9y,15.5,15.3,15.40,15.2,15.3,15.3,0,15.3,15.5,0,15.30
10y,15.35,15.3,15.40,15.2,15.25,15.3,0,15.3,15.4,0,15.28
15y,15.15,15.25,15.35,15.3,15.25,15.3,0,15.25,15.35,0,15.25
20y,15.15,15.25,15.35,15.3,15.25,15.3,0,15.25,15.35,0,15.25
