T-Bill & PIB Revaluation Rates Fixing,,,,,,,,,
T-Bill & PIB Revaluation Rates,,,,,,,,,
Updated at 14:55:00 Dated 2022-04-05,,,,,,,,,
,,,,,,,,,
userid,BMA,C&M,CMKA,IONE,JSCM,MCPL,SCPL,VCPL,Avg
0-7days,10.1,10,10,10.1,10,10,10,10,10.02
8-15days,10.45,10.5,10.5,10.5,10.5,10.5,10.5,10.55,10.50
16-30days,10.6,10.9,10.7,10.6,10.5,10.7,10.55,10.6,10.63
31-60days,11.65,11.6,11.65,11.6,11.7,11.8,11.75,11.6,11.66
61-90days,11.85,11.9,11.85,11.8,11.9,11.9,11.95,11.8,11.87
91-120days,12.2,12.25,12.2,12.1,12.35,12.2,12.35,12.42,12.26
121-180days,12.45,12.5,12.45,12.45,12.45,12.4,12.5,12.45,12.46
181-270days,12.5,12.5,12.5,12.52,12.5,12.5,12.5,12.55,12.50
271-365days,12.55,12.55,12.6,12.6,12.55,12.55,12.55,12.65,12.57
2years,12.55,12.5,12.55,12.6,12.5,12.55,12.5,12.55,12.53
3years,12.45,12.5,12.45,12.5,12.45,12.4,12.35,12.45,12.45
4years,12.35,12.35,12.35,12.35,12.3,12.3,12.3,12.4,12.33
5years,12.28,12.45,12.3,12.3,12.3,12.3,12.3,12.33,12.31
6years,12.25,12.4,12.25,12.25,12.25,11.9,12.25,12.31,12.26
7years,12.15,12.3,12.15,12.15,12.2,11.9,12.2,12.27,12.19
8years,12.1,12.1,12.1,12.05,12.15,11.9,12.15,12.25,12.11
9years,12.1,12,12.1,12.05,12.15,11.95,12.15,12.23,12.09
10years,12.1,12,12.1,12.1,12.15,12,12.1,12.25,12.09
15years,12.2,12.5,12.25,12.15,12.25,12.25,12.25,12.2,12.23
20years,12.3,12.6,12.4,12.3,12.4,12.45,12.4,12.4,12.39
