PKRV 06 - July-2023,,,,,,,,,,,
,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,Max,Min,Avg rate
1wk,22.1,22,22.00,22,22,22,22.1,22,22.1,22,22.02
2wk,22.2,22.1,22.10,22.2,22.1,22.1,22.2,22.1,22.2,22.1,22.13
1s,22.3,22.25,22.25,22.25,22.25,22.2,22.25,22.25,22.3,22.2,22.25
2s,22.45,22.5,22.50,22.4,22.5,22.35,22.35,22.45,22.5,22.35,22.44
3s,22.7,22.75,22.65,22.7,22.65,22.65,22.65,22.65,22.75,22.65,22.67
4s,22.8,22.85,22.75,22.9,22.8,22.8,22.8,22.8,22.9,22.75,22.81
6s,22.8,22.9,22.90,22.9,22.9,22.9,22.9,22.85,22.9,22.8,22.89
9s,22.9,22.92,22.95,22.9,22.95,22.95,22.92,22.9,22.95,22.9,22.92
1y,22.9,22.94,22.95,22.9,22.95,22.95,22.95,22.95,22.95,22.9,22.94
2y,19.5,19.55,19.60,19.5,19.5,19.5,19.7,19.6,19.7,19.5,19.54
3y,18.85,18.9,18.90,18.9,18.9,18.85,18.83,18.85,18.9,18.83,18.88
4y,16.05,16.7,16.10,15.95,16,16.15,15.8,16,16.7,15.8,16.04
5y,16,15.8,15.95,15.9,15.95,16,15.82,15.95,16,15.8,15.93
6y,15.9,15.7,15.55,15.5,15.6,15.6,15.83,15.6,15.9,15.5,15.65
7y,15.8,15.5,15.55,15.5,15.5,15.55,15.75,15.55,15.8,15.5,15.57
8y,15.7,15.4,15.35,15.3,15.35,15.35,15.7,15.35,15.7,15.3,15.42
9y,15.5,15.3,15.35,15.25,15.3,15.35,15.55,15.3,15.55,15.25,15.35
10y,15.3,15.3,15.35,15.25,15.25,15.35,15.45,15.3,15.45,15.25,15.31
15y,15.25,15.25,15.25,15.25,15.25,15.3,15.25,15.25,15.3,15.25,15.25
20y,15.25,15.25,15.25,15.25,15.25,15.3,15.2,15.25,15.3,15.2,15.25
