,AHL,,ALFA,,BCAP,,BMA,C&M,CEL,CMKA,MCPL,,Max,,Min,,Avg rate,
1wk,21.2,,21.2,,21.4,,21.3,21.2,21.25,21.65,21.2,,21.65,,21.2,,21.26,
2wk,21.25,,21.5,,21.8,,21.6,21.5,21.5,21.7,21.5,,21.8,,21.25,,21.55,
1s,21.4,,21.8,,22,,21.8,21.7,21.75,21.8,21.5,,22,,21.4,,21.73,
2s,22.1,,22.1,,22.25,,22.1,22.1,22.05,22.15,22.1,,22.25,,22.05,,22.11,
3s,22.3,,22.4,,22.6,,22.4,22.4,22.45,22.4,22.4,,22.6,,22.3,,22.41,
4s,22.5,,22.65,,22.8,,22.65,22.6,22.7,22.7,22.62,,22.8,,22.5,,22.65,
6s,22.6,,22.7,,22.85,,22.8,22.8,22.8,22.8,22.8,,22.85,,22.6,,22.78,
9s,22.7,,22.8,,22.9,,22.9,22.9,22.9,22.85,22.9,,22.9,,22.7,,22.88,
1y,22.9,,22.85,,22.95,,22.9,22.9,22.95,22.9,22.9,,22.95,,22.85,,22.91,
2y,19.95,,20.05,,20.1,,20.05,19.9,20,20,19.9,,20.1,,19.9,,19.99,
3y,19.37,,19.35,,19.35,,19.34,19.35,19.36,19.35,19.35,,19.37,,19.34,,19.35,
4y,17.95,,18,,17.9,,17.9,18,18,18,17.99,,18,,17.9,,17.97,
5y,16.4,,16.7,,16.45,,16.45,16.4,16.5,16.5,16.42,,16.7,,16.4,,16.45,
6y,16.3,,16.4,,16.05,,16.25,16.05,16.2,16.2,16.05,,16.4,,16.05,,16.18,
7y,16.2,,16.3,,16,,16.1,16,16.1,16.1,16,,16.3,,16,,16.08,
8y,16.1,,16.1,,15.9,,15.9,15.9,16,16,15.9,,16.1,,15.9,,15.97,
9y,16,,16.1,,15.8,,15.8,15.8,15.9,15.9,15.82,,16.1,,15.8,,15.87,
10y,15.7,,15.9,,15.7,,15.75,15.75,15.8,15.8,15.75,,15.9,,15.7,,15.76,
15y,15.3,,15.5,,15.35,,15.45,15.35,15.4,15.4,15.35,,15.5,,15.3,,15.38,
20y,15.3,,15.5,,15.35,,15.4,15.35,15.4,15.4,15.35,,15.5,,15.3,,15.38,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
