,,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,,Avg Rate
,0-7days,0,21.2,21.4,21.35,21.4,0,21.75,21.4,,21.42
,8-15days,0,21.5,21.75,21.6,21.6,0,21.85,21.6,,21.65
,16-30days,0,21.8,21.95,21.8,21.95,0,21.95,21.95,,21.9
,31-60days,0,22.1,22.25,22.15,22.15,0,22.15,22.15,,22.16
,61-90days,0,22.5,22.55,22.5,22.6,0,22.45,22.55,,22.53
,91-120days,0,22.7,22.7,22.7,22.7,0,22.7,22.7,,22.7
,121-180days,0,22.75,22.8,22.8,22.85,0,22.8,22.85,,22.81
,181-270days,0,22.8,22.85,22.9,22.9,0,22.85,22.9,,22.87
,271-365days,0,22.85,22.9,22.9,22.95,0,22.9,22.95,,22.91
,2years,0,20.05,20.1,20.05,19.9,0,20,19.9,,20
,3years,0,19.45,19.4,19.5,19.45,0,19.35,19.45,,19.43
,4years,0,18.25,18,17.95,18.25,0,18,18.2,,18.11
,5years,0,17,16.75,16.45,17,0,16.45,17,,16.78
,6years,0,16.4,16.5,16.25,16.4,0,16.2,16.4,,16.36
,7years,0,16.3,16.3,16.1,16.2,0,16.1,16.2,,16.2
,8years,0,16.1,16,15.9,16,0,16,16,,16
,9years,0,16.1,15.8,15.8,15.9,0,15.9,15.9,,15.9
,10years,0,15.9,15.7,15.75,15.7,0,15.75,15.95,,15.79
,15years,0,15.5,15.35,15.45,15.35,0,15.4,15.35,,15.4
,20years,0,15.5,15.35,15.4,15.35,0,15.4,15.35,,15.39
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
08/08/2023,17:54,:,PKRV,for,user,reuters,,,,,
[Printed,by,Refinitiv,Eikon],Page,:,1,,,,,
