Revaluation,Rates,for,T-Bills/PIBs/FIBs,Holding,APPLICABLE,FOR,10-Nov-23,,
,,,,,,,,,
Note:Updation,of,Page/RICs,depends,on,data,availablity,from,source.<ALERTPKRFIX>,Info
TENOR,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,FMAP
0-7days,22,21.9,21.9,21.9,21.9,22,21.9,21.9,21.92
,,,,,,,,,
8-15days,21.9,21.75,21.7,21.6,21.5,21.6,21.5,21.5,21.61
16-30days,21.7,21.35,21.5,21.4,21.4,21.4,21.4,21.4,21.42
31-60days,21.45,21.4,21.45,21.4,21.45,21.4,21.45,21.45,21.43
61-90days,21.35,21.4,21.35,21.3,21.4,21.3,21.4,21.4,21.37
,,,,,,,,,
91-120days,21.45,21.5,21.4,21.4,21.4,21.4,21.4,21.4,21.41
121-180days,21.5,21.55,21.5,21.45,21.4,21.45,21.45,21.45,21.47
181-270days,21.55,21.6,21.55,21.6,21.5,21.55,21.55,21.55,21.56
271-365days,21.6,21.6,21.6,21.65,21.55,21.6,21.6,21.6,21.6
,,,,,,,,,
2years,19.1,19.25,19.1,19.25,19.35,19.2,19.35,19.3,19.24
3years,17.3,17.4,17.3,17.4,17.25,17.25,17.3,17.4,17.33
4years,16.2,16.25,15.9,15.75,15.5,15.9,15.6,15.8,15.86
5years,15.72,16.1,15.6,15.6,15.45,15.6,15.5,15.5,15.59
,,,,,,,,,
6years,15.5,15.45,15.4,15.45,15.35,15.4,15.4,15.4,15.42
7years,15.4,15.45,15.3,15.4,15.3,15.35,15.35,15.3,15.35
8years,15.3,15.35,15.2,15.35,15.2,15.3,15.3,15.3,15.29
9years,15.2,15.3,15.15,15.25,15.15,15.2,15.2,15.2,15.2
,,,,,,,,,
10years,15,15.25,15.1,15.2,15.1,15.15,15.15,15.1,15.13
15years,14.9,15.1,15,15.1,15,15.05,15.05,15.05,15.04
20years,14.9,15,15,15,15,15,15,15,15
