11:10,09-Oct-23,FINANCIAL,MARKET,ASSOCIATION,PK01079,PKRV,,,,
Revaluation,Rates,for,T-Bills/PIBs/FIBs,Holding,APPLICABLE,FOR,10-Oct-23,,,
Note:Updation,of,Page/RICs,depends,on,data,availablity,from,source.<ALERTPKRFIX>,,
,,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,Avg Rate
,0-7days,21.75,21.8,21.95,21.95,22,22,21.95,22,21.94
,8-15days,21.95,21.9,21.9,22,22,22,22,22,21.98
,16-30days,22,22,22,22.05,22.05,22,22.05,22.08,22.03
,31-60days,22.05,22,22.05,22.05,22.05,22.1,22.05,22.1,22.06
,61-90days,22.1,22.1,22.1,22.15,22.1,22.1,22.1,22.12,22.1
,91-120days,22.15,22.25,22.4,22.25,22.3,22.3,22.3,22.3,22.28
,121-180days,22.2,22.5,22.6,22.65,22.65,22.5,22.6,22.65,22.58
,181-270days,22.25,22.5,22.7,22.75,22.7,22.5,22.65,22.7,22.63
,271-365days,22.35,22.5,22.75,22.8,22.8,22.5,22.7,22.8,22.68
,2years,19.8,19.75,19.8,19.8,19.75,19.75,19.8,19.8,19.78
,3years,18.5,18.5,18.4,18.5,18.4,18.5,18.4,18.45,18.46
,4years,17.5,17,16.6,16.95,16.5,17,17,16.7,16.88
,5years,16.5,16.8,16.5,16.8,16.3,16.8,16.7,16.5,16.63
,6years,16.75,16.75,16.45,16.65,16.2,16.65,16.5,16.2,16.53
,7years,16.6,16.65,16.35,16.5,16.1,16.55,16.4,16.1,16.42
,8years,16.5,16.5,16.3,16.35,16.1,16.35,16.25,16,16.31
,9years,16.4,16.3,16.2,16.2,16,16.2,16.1,16,16.17
,10years,16.2,16.2,16.1,16.1,15.9,16.05,16,15.9,16.06
,15years,16,15.2,15.35,15.25,15.25,15.35,15.3,15.25,15.29
,20years,15.5,15.2,15.35,15.3,15.25,15.35,15.3,15.25,15.3
