Revaluation,Rates,for,T-Bills/PIBs/FIBs,Holding,APPLICABLE,FOR,11-Jan-24,,,,
,,,,,,,,,,,
Note:Updation,of,Page/RICs,depends,on,data,availablity,from,source.<ALERTPKRFIX>,Info,,
TENOR,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,FMAP,,
0-7days,21.7,21.6,0,21.75,21.9,21.75,21.9,21.9,21.8,,
,,,,,,,,,,,
8-15days,21.15,21.5,0,21.65,21.95,21.6,21.8,21.95,21.7,,
16-30days,21.1,21,0,21.1,21,21.05,21,21,21.03,,
31-60days,21.1,21.05,0,21.1,21,21.05,21,21,21.04,,
61-90days,21.05,21,0,21.05,20.95,20.95,20.95,20.95,20.98,,
,,,,,,,,,,,
91-120days,21.1,21.15,0,21.15,21.1,21.1,21.1,21.08,21.11,,
121-180days,21.15,21.15,0,21.15,21.2,21.15,21.1,21.18,21.16,,
181-270days,21.1,21.05,0,21.12,21.2,21.15,21.15,21.18,21.14,,
271-365days,21,20.95,0,21.08,21,20.95,21,21,20.99,,
,,,,,,,,,,,
2years,18,17.5,0,17.95,18.25,17.9,18.15,18.22,18.04,,
3years,16.85,16,0,16.4,16.5,16.2,16.5,16.49,16.42,,
4years,16.25,15.85,0,16.25,11,16.05,16.15,16.29,16.11,,
5years,15.75,15.6,0,15.9,15.9,16,15.95,15.9,15.88,,
,,,,,,,,,,,
6years,15.8,15.4,0,15.5,15.55,15.4,15.5,15.55,15.5,,
7years,15.7,15.3,0,15.3,15.25,15.25,15.3,15.25,15.28,,
8years,15.6,15.15,0,15.15,15.15,15.1,15.2,15.15,15.16,,
9years,15.5,15,0,15,14.8,14.95,15,14.8,14.95,,
,,,,,,,,,,,
10years,14.75,14.8,0,14.6,14.7,14.8,14.8,14.7,14.75,,
15years,15.1,14.6,0,14.5,14.5,14.6,14.6,14.48,14.56,,
20years,15,14.5,0,14.5,14.5,14.6,14.6,14.48,14.54,,
