11:08 10AUG23    FINANCIAL MARKET ASSOCIATION          PK01079              PKRV,,,,,,,,,
Revaluation Rates for T-Bills/PIBs/FIBs Holding APPLICABLE FOR 11-AUG-23        ,,,,,,,,,
Note:Updation of Page/RICs depends on data availablity from source.<ALERTPKRFIX>,,,,,,,,,
            ,   AHL    ,ALFA    ,BCAP   ,BMA   ,C&M   ,CEL   ,CMKA  ,MCPL ,Avg Rate
    0-7days,22,21.9,21.65,21.9,21.75,0,22.1,21.9,21.89
   8-15days   ,22.05,22,21.75,21.9,21.75,0,22.15,21.9,21.92
  16-30days   ,22.15,22.1,21.95,22,21.95,0,22.25,21.95,22.03
  31-60days   ,22.35,22.25,22.15,22.2,22.15,0,22.4,22.15,22.22
  61-90days   ,22.75,22.75,22.75,22.78,22.77,0,22.75,22.78,22.76
 91-120days  ,22.75,22.8,22.8,22.8,22.8,0,22.8,22.8,22.8
121-180days  ,22.8,22.85,22.9,22.8,22.85,0,22.85,22.85,22.84
181-270days  ,22.85,22.9,22.92,22.9,22.85,0,22.9,22.9,22.89
271-365days,22.95,22.95,22.95,22.9,22.9,0,22.92,22.9,22.92
     2years   ,19.95,20,20.1,20.05,20.1,0,20,20.05,20.04
     3years   ,19.45,19.4,19.4,19.45,19.4,0,19.45,19.48,19.43
     4years  ,17,17.5,17.7,17.1,17.2,0,18,17.2,17.34
     5years   ,16.8,17,16.5,16.5,16.5,0,17,16.45,16.66
     6years ,16.5,16.5,16.3,16.3,16.3,0,16.35,16.15,16.35
     7years   ,16.4,16.4,16,16,16,0,16.2,15.9,16.12
     8years   ,16.2,16.3,15.8,15.8,15.8,0,16,15.85,15.93
     9years  ,16.1,16.25,15.75,15.75,15.75,0,15.9,15.75,15.85
    10years ,15.8,16,15.7,15.7,15.7,0,15.75,15.75,15.74
    15years   ,15.3,15.4,15.35,15.4,15.35,0,15.4,15.3,15.36
    20years   ,15.3,15.4,15.35,15.35,15.35,0,15.4,15.3,15.35
