11:08,11-Aug-23,FINANCIAL,MARKET,ASSOCIATION,PK01079,PKRV,,,,
Revaluation,Rates,for,T-Bills/PIBs/FIBs,Holding,APPLICABLE,FOR,15-Aug-23,,,
Note:Updation,of,Page/RICs,depends,on,data,availablity,from,source.<ALERTPKRFIX>,,
,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,Avg,Rate
,0-7days,0,21.8,22.1,22,0,22.1,0,21.1,21.82
,8-15days,0,21.95,22.2,21.9,0,21.8,0,22.05,21.98
,16-30days,0,22,22.3,22.1,0,21.9,0,22,22.06
,31-60days,0,22.2,22.4,22.3,0,21.95,0,22.2,22.21
,61-90days,0,22.68,22.7,22.67,0,22.65,0,22.68,22.68
,91-120days,0,22.8,22.8,22.8,0,22.8,0,22.8,22.8
,121-180days,0,22.85,22.9,22.8,0,22.85,0,22.85,22.85
,181-270days,0,22.9,22.92,22.9,0,22.9,0,22.9,22.9
,271-365days,0,22.95,22.95,22.9,0,22.95,0,22.95,22.94
,2years,0,20,20.1,20.05,0,20,0,20.05,20.04
,3years,0,19.4,19.4,19.45,0,19.45,0,19.45,19.43
,4years,0,17.5,17.45,17.1,0,17.5,0,17.2,17.35
,5years,0,17,16.5,16.5,0,16.65,0,16.75,16.68
,6years,0,16.5,16.3,16.4,0,16.35,0,16.75,16.46
,7years,0,16.3,16,16.2,0,16.15,0,16.75,16.28
,8years,0,16.2,15.8,16,0,15.95,0,16.5,16.09
,9years,0,16,15.75,15.9,0,15.8,0,16.2,15.93
,10years,0,15.8,15.7,15.75,0,15.75,0,16.1,15.82
,15years,0,15.35,15.35,15.4,0,15.35,0,15.45,15.38
,20years,0,15.35,15.35,15.35,0,15.35,0,15.45,15.37
