,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,Avg Rate
0-7days,22.2,0,21.9,22,22,22,0,22,22.02
8-15days,22.15,0,22,22,22.1,22,0,22.1,22.06
16-30days,22.1,0,22.1,22.05,22.1,22.05,0,22.1,22.08
31-60days,22.1,0,22.15,22.05,22.1,22.1,0,22.15,22.11
61-90days,22.2,0,22.2,22.15,22.2,22.18,0,22.2,22.19
91-120days,22.2,0,22.45,22.25,22.3,22.3,0,22.3,22.3
121-180days,22.25,0,22.65,22.6,22.4,22.5,0,22.5,22.48
181-270days,22.3,0,22.75,22.75,22.45,22.5,0,22.55,22.55
271-365days,22.35,0,22.8,22.8,22.5,22.5,0,22.6,22.59
2years,19.75,0,19.8,19.75,19.75,19.75,0,19.8,19.77
3years,18.6,0,18.6,18.5,18.3,18.6,0,18.4,18.5
4years,17.4,0,16.35,16.95,16.4,16.1,0,16.6,16.63
5years,16.1,0,16.25,16.8,16.2,16.75,0,16.4,16.42
6years,16.1,0,16.2,16.6,16.1,16.5,0,16.2,16.28
7years,16,0,16.15,16.5,16.05,16.4,0,16.1,16.2
8years,16,0,16.1,16.35,16.05,16.3,0,16,16.13
9years,16,0,16.05,16.2,16,16.2,0,16,16.08
10years,15.9,0,16,16.1,15.9,16.05,0,15.9,15.98
15years,15.75,0,15.35,15.25,15.25,15.3,0,15.25,15.36
20years,15.7,0,15.35,15.3,15.25,15.3,0,15.25,15.36
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
10/11/2023,16:58 : PK,RV for,user r,euters,at REUT,ERS,,,
[Printed by,Refinitiv,Eikon,],,,,,,Page : 1
