,FMA,-,REVALUATION,RATES,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Revaluation,Rates,for,T-Bills/PIBs/FIBs,Holding,APPLICABLE,FOR,15-Jan-24,,,,
,,,,,,,,,,,
Note:Updation,of,Page/RICs,depends,on,data,availablity,from,source.<ALERTPKRFIX>,Info,,
TENOR,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,FMAP,,
0-7days,21.9,0,21.25,21.5,21.8,21.5,21.8,21.85,21.69,,
,,,,,,,,,,,
8-15days,20.8,0,20.9,21.1,21.9,21,21.8,21.9,21.34,,
16-30days,20.75,0,20.8,20.8,20.75,20.8,20.75,20.75,20.77,,
31-60days,20.6,0,20.7,20.75,20.7,20.8,20.7,20.7,20.71,,
61-90days,20.6,0,20.5,20.4,20.3,20.5,20.3,20.3,20.4,,
,,,,,,,,,,,
91-120days,20.6,0,20.6,20.6,20.6,20.5,20.5,20.5,20.56,,
121-180days,20.55,0,20.65,20.45,20.6,20.55,20.6,20.5,20.56,,
181-270days,20.55,0,20.65,20.55,20.6,20.55,20.6,20.5,20.57,,
271-365days,20.5,0,20.6,20.6,20.6,20.5,20.6,20.6,20.58,,
,,,,,,,,,,,
2years,17.8,0,17.8,17.4,17.8,17.7,17.75,17.75,17.76,,
3years,16.75,0,16.5,16.2,16.3,16.2,16.3,16.25,16.31,,
4years,16.1,0,15.8,15.85,16,15.9,15.9,16,15.93,,
5years,15.5,0,15.5,15.5,15.8,15.7,15.75,15.7,15.63,,
,,,,,,,,,,,
6years,15.2,0,15.4,15.25,15.4,15.4,15.4,15.4,15.37,,
7years,15.1,0,15.3,15.1,15.25,15.2,15.25,15.25,15.21,,
8years,15,0,15.2,15.05,15.15,15.05,15.1,15.15,15.1,,
9years,14.9,0,15.1,14.9,14.8,14.9,14.9,14.8,14.88,,
,,,,,,,,,,,
10years,14.8,0,14.85,14.6,14.65,14.75,14.75,14.65,14.72,,
15years,14.7,0,14.8,14.5,14.5,14.6,14.55,14.5,14.57,,
20years,14.65,0,14.75,14.5,14.5,14.6,14.55,14.5,14.56,,
