11:07 13JUL22    FINANCIAL MARKET ASSOCIATION          PK01079              PKRV
Revaluation Rates for T-Bills/PIBs/FIBs Holding APPLICABLE FOR 14-JUL-22        
Note:Updation of Page/RICs depends on data availablity from source.<ALERTPKRFIX>
               AHL    BMA    CEL    CMKA   ICON   IONE   MCPL  VCPL     Avg Rate
    0-7days   14.25  14.25  14.00  00.00  14.10  00.00  14.65  14.25       14.25
   8-15days   14.50  14.15  14.15  00.00  14.50  00.00  14.10  14.40       14.30
  16-30days   14.75  15.00  14.50  00.00  14.70  00.00  15.00  14.75       14.78
  31-60days   15.10  15.10  15.00  00.00  15.20  00.00  15.10  15.35       15.14
  61-90days   15.60  15.40  15.45  00.00  15.45  00.00  15.40  15.55       15.48
 91-120days   15.65  15.50  15.55  00.00  15.70  00.00  15.50  15.65       15.59
121-180days   15.80  15.55  15.70  00.00  15.85  00.00  15.60  15.75       15.71
181-270days   15.85  15.75  15.80  00.00  15.95  00.00  15.70  15.79       15.81
271-365days   15.90  15.75  15.90  00.00  16.00  00.00  15.75  15.83       15.86
     2years   14.70  14.35  14.40  00.00  15.35  00.00  14.30  14.35       14.58
     3years   14.60  13.80  13.85  00.00  14.30  00.00  13.80  14.05       14.07
     4years   13.60  13.50  13.60  00.00  14.05  00.00  13.50  13.45       13.62
     5years   13.50  13.35  13.35  00.00  13.30  00.00  13.35  13.35       13.37
     6years   13.55  13.25  13.25  00.00  13.28  00.00  13.30  13.30       13.32
     7years   13.55  13.25  13.25  00.00  13.26  00.00  13.30  13.20       13.30
     8years   13.35  13.25  13.25  00.00  13.20  00.00  13.25  13.10       13.23
     9years   13.25  13.25  13.20  00.00  13.25  00.00  13.25  13.10       13.22
    10years   13.40  13.20  13.20  00.00  13.30  00.00  13.20  13.10       13.23
    15years   13.55  13.60  13.50  00.00  13.50  00.00  13.60  13.40       13.53
    20years   13.75  13.75  13.75  00.00  13.70  00.00  13.80  13.60       13.73
[       NOTE: Effective 6-Feb-2020 :  30 year tenor has been discontinued     ] 







































07/13/2022 17:26 : PKRV for user reuters at TERMINAL-REUTER
[Printed by Refinitiv Eikon]                                            Page : 1
