,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,Max,Min,Avg rate
1wk,21.75,21.8,22.00,22,0,22,22,22,22,0,21.93
2wk,21.85,21.9,22.00,22.05,0,21.85,22.05,22.1,22.1,0,21.95
1s,22.1,22.1,22.05,22.15,0,22.15,22.1,22.1,22.15,0,22.10
2s,22.25,22.3,22.30,22.22,0,22.25,22.3,22.25,22.3,0,22.26
3s,22.4,22.5,22.40,22.4,0,22.4,22.45,22.4,22.5,0,22.41
4s,22.6,22.65,22.45,22.45,0,22.55,22.6,22.4,22.65,0,22.51
6s,22.6,22.7,22.45,22.6,0,22.65,22.7,22.45,22.7,0,22.58
9s,22.6,22.75,22.65,22.6,0,22.7,22.75,22.45,22.75,0,22.63
1y,22.6,22.8,22.65,22.55,0,22.75,22.8,22.55,22.8,0,22.65
2y,19.4,19.45,19.45,19.4,0,19.35,19.45,19.35,19.45,0,19.40
3y,18.85,18.9,18.80,18.9,0,18.7,18.8,18.8,18.9,0,18.81
4y,15.2,16.75,16.35,16.2,0,16.15,16.25,16.2,16.75,0,16.06
5y,16.2,16.1,16.05,16.2,0,16,16.1,16,16.2,0,16.08
6y,16.1,15.75,15.60,16.1,0,15.5,15.6,15.6,16.1,0,15.69
7y,16,15.6,15.60,16,0,15.45,15.55,15.55,16,0,15.63
8y,15.9,15.5,15.60,15.85,0,15.3,15.4,15.45,15.9,0,15.52
9y,15.8,15.4,15.35,15.9,0,15.25,15.35,15.35,15.9,0,15.42
10y,15.8,15.35,15.35,15.8,0,15.25,15.3,15.3,15.8,0,15.39
15y,15.3,15.25,15.25,15.5,0,15.25,15.25,15.25,15.5,0,15.26
20y,15.3,15.25,15.25,15.5,0,15.25,15.25,15.25,15.5,0,15.26
