PKRV 14-JULY-2023,,,,,,,,,,,
,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,Max,Min,Avg rate
1wk,21.75,21.7,22.00,21.9,21.9,21.75,21.8,21.9,22,21.7,21.83
2wk,21.85,21.9,22.00,22,21.75,21.7,22,21.75,22,21.7,21.88
1s,22.1,22.1,22.05,22.15,22,22.1,22.1,22,22.15,22,22.08
2s,22.2,22.2,22.30,22.2,22.15,22.2,22.2,22.1,22.3,22.1,22.19
3s,22.35,22.4,22.40,22.35,22.2,22.35,22.35,22.2,22.4,22.2,22.33
4s,22.6,22.55,22.45,22.5,22.45,22.5,22.55,22.45,22.6,22.45,22.50
6s,22.6,22.6,22.45,22.6,22.5,22.55,22.6,22.5,22.6,22.45,22.56
9s,22.6,22.62,22.65,22.6,22.55,22.6,22.6,22.55,22.65,22.55,22.60
1y,22.6,22.65,22.65,22.6,22.6,22.65,22.7,22.6,22.7,22.6,22.63
2y,19.4,19.4,19.45,19.4,19.4,19.35,19.4,19.4,19.45,19.35,19.40
3y,18.85,18.9,18.80,18.9,18.8,18.75,18.8,18.8,18.9,18.75,18.83
4y,16.3,16.75,16.35,16.2,16.05,16.1,16.2,16.05,16.75,16.05,16.20
5y,16.2,16.1,16.05,16.2,16.05,16.05,16.1,16.05,16.2,16.05,16.09
6y,16.1,15.75,15.60,16.1,15.65,15.6,15.7,15.65,16.1,15.6,15.74
7y,16,15.6,15.60,16,15.65,15.6,15.6,15.65,16,15.6,15.68
8y,15.9,15.5,15.60,15.85,15.5,15.5,15.5,15.5,15.9,15.5,15.58
9y,15.8,15.4,15.35,15.9,15.4,15.4,15.4,15.35,15.9,15.35,15.46
10y,15.8,15.35,15.35,15.8,15.4,15.4,15.35,15.35,15.8,15.35,15.44
15y,15.3,15.25,15.25,15.5,15.3,15.25,15.25,15.25,15.5,15.25,15.27
20y,15.3,15.25,15.25,15.5,15.3,15.25,15.25,15.25,15.5,15.25,15.27
