,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,Avg Rate
0-7days,21.25,21.3,21.4,21.5,21.3,21.25,21.4,21.25,21.32
8-15days,21.5,22.5,21.6,21.75,21.75,21.75,21.7,21.65,21.7
16-30days,21.75,21.8,21.9,21.9,21.9,21.9,21.8,21.7,21.84
31-60days,22,22.2,22.3,22.05,22.05,22,22,22,22.05
61-90days,22.75,22.6,22.6,22.6,22.55,22.5,22.6,22.45,22.58
91-120days,22.8,22.8,22.75,22.7,22.8,22.6,22.75,22.75,22.76
121-180days,22.85,23,22.9,23,22.9,22.7,22.9,22.9,22.91
181-270days,22.85,23,22.95,23,22.95,22.8,22.95,22.9,22.93
271-365days,22.9,23,22.98,23,23,22.9,22.95,21.9,22.96
2years,22.1,21.75,20.9,21.75,21.75,21.6,21.8,19.6,21.59
3years,19.75,19.8,19.65,19.75,19.4,19.75,19.5,18.1,19.63
4years,18.9,18.6,17.9,18.25,18.1,18.5,18.2,17,18.26
5years,17.4,17.5,17,17.5,17,17.5,17.1,16.9,17.25
6years,16.6,17,16.9,17.2,16.8,16.75,16.9,16.8,16.86
7years,16.5,16.95,16.7,16.9,16.5,16.75,16.6,16.7,16.69
8years,16.4,16.85,16.5,16.8,16.5,16.6,16.5,16.6,16.58
9years,16.3,16.65,16.3,16.9,16.3,16.6,16.3,16.4,16.43
10years,16.2,16.5,16.1,16.7,16.1,16.3,16.1,16,16.22
15years,15.4,15.3,15.5,15.55,15.35,15.1,15.35,15.3,15.37
20years,15.4,15.3,15.5,15.6,15.35,15.1,15.35,15.3,15.37
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
9/15/2023,17:01 : P,KRV for,user re,uters,at REUT,ERS,,,
[Printed by,Refiniti,v Eikon,],,,,,,Page : 1
