Kibor Fixing,,,,,,,,,
Karachi InterBank Offer Rate,,,,,,,,,
Updated at 14:55:00 Dated 2022-04-16,,,,,,,,,
User8,BMA,C&M,CMKA,IONE,JSCM,MCPL,SCPL,VCPL,Avg
0-7days,12.35,12.35,12.35,12.35,12.3,12.3,12.35,12.35,12.34
8-15days,12.45,12.4,12.4,12.45,12.42,12.35,12.45,12.4,12.42
16-30days,12.5,12.45,12.45,12.5,12.45,12.45,12.45,12.47,12.46
31-60days,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.53,12.55
61-90days,12.65,12.65,12.65,12.65,12.63,12.68,12.65,12.67,12.65
91-120days,12.8,12.8,12.8,12.85,12.75,12.75,12.75,12.81,12.79
121-180days,13.07,13.05,13.05,13.07,13.03,13.05,13.03,13.05,13.05
181-270days,13.06,13.05,13.05,13.06,13.04,13.05,13.02,13.03,13.05
271-365days,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.02,13.05
2years,12.45,12.4,12.45,12.45,12.42,12.4,12.45,12.45,12.44
3years,12.3,12.3,12.3,12.3,12.27,12.3,12.3,12.31,12.3
4years,12.1,12.1,12.1,12.1,12.1,12.12,12.1,12.11,12.1
5years,12,12.1,12.08,12.05,12.05,12.1,12.1,12.09,12.08
6years,12,12,12,12,12,11.95,12,11.97,12
7years,11.95,11.95,11.9,11.95,11.9,11.9,11.9,11.95,11.93
8years,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.91,11.9
9years,11.9,11.9,11.9,11.9,11.9,11.9,11.85,11.9,11.9
10years,11.9,11.95,11.9,11.9,11.9,11.95,11.9,11.9,11.91
15years,12.25,12.3,12.25,12.25,12.25,12.3,12.25,12.25,12.26
20years,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
