,AHL,ALFA,BCAP,BMA,C&M,CEL,CMK,MCPL,,Max,Min,Avg rate
1wk,21.400,21.250,21.400,21.650,21.700,21.700,21.300,21.700,,21.7,21.25,21.53
2wk,21.500,21.200,21.300,21.550,21.500,21.500,21.300,21.500,,21.55,21.2,21.43
1s,21.600,21.450,21.450,21.550,21.500,21.550,21.500,21.550,,21.6,21.45,21.52
2s,21.750,21.750,21.750,21.750,21.750,21.760,21.750,21.750,,21.76,21.75,21.75
3s,21.980,21.980,21.980,21.970,21.980,21.980,21.980,21.990,,21.99,21.97,21.98
4s,21.980,21.980,21.980,21.980,21.970,21.980,21.980,21.970,,21.98,21.97,21.98
6s,21.990,21.980,21.990,21.980,21.970,21.980,21.980,21.970,,21.99,21.97,21.98
9s,21.990,21.990,21.990,21.980,21.970,21.980,21.980,21.980,,21.99,21.97,21.98
1y,21.990,21.990,21.990,21.980,21.970,21.980,21.980,21.980,,21.99,21.97,21.98
2y,19.600,19.600,19.600,19.600,19.600,19.600,19.600,19.600,,19.6,19.6,19.60
3y,19.000,19.050,19.100,19.050,19.050,19.050,19.100,19.050,,19.1,19,19.06
4y,15.600,15.650,15.650,15.650,15.650,15.650,15.650,15.600,,15.65,15.6,15.64
5y,14.850,15.050,15.050,14.980,15.000,15.000,15.000,15.050,,15.05,14.85,15.01
6y,14.950,15.070,15.050,15.050,15.050,15.050,15.050,15.050,,15.07,14.95,15.05
7y,14.950,15.070,15.050,15.050,15.050,15.050,15.050,15.050,,15.07,14.95,15.05
8y,15.000,15.080,15.070,15.050,15.050,15.050,15.050,15.050,,15.08,15,15.05
9y,15.050,15.090,15.100,15.100,15.050,15.100,15.100,15.100,,15.1,15.05,15.09
10y,15.050,15.100,15.100,15.100,15.100,15.100,15.100,15.100,,15.1,15.05,15.10
15y,15.150,15.150,15.150,15.150,15.150,15.150,15.150,15.150,,15.15,15.15,15.15
20y,15.150,15.150,15.150,15.150,15.150,15.150,15.150,15.150,,15.15,15.15,15.15
