PKRV 17-July-2023,,,,,,,,,,,
,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,Max,Min,Avg rate
1wk,21.75,21.7,21.80,21.75,21.75,21.4,21.8,21.9,21.9,21.4,21.76
2wk,21.9,21.8,21.80,21.9,21.8,21.5,21.9,21.8,21.9,21.5,21.83
1s,22.1,22.1,22.00,22.1,21.9,21.9,22.1,21.9,22.1,21.9,22.02
2s,22.2,22.3,22.40,22.2,22.4,22.2,22.35,22.4,22.4,22.2,22.31
3s,22.45,22.4,22.50,22.55,22.5,22.4,22.45,22.5,22.55,22.4,22.47
4s,22.6,22.7,22.60,22.6,22.6,22.5,22.65,22.6,22.7,22.5,22.61
6s,22.6,22.8,22.70,22.7,22.7,22.6,22.75,22.65,22.8,22.6,22.68
9s,22.6,22.85,22.75,22.85,22.8,22.6,22.8,22.8,22.85,22.6,22.77
1y,22.6,22.9,22.85,22.9,22.85,22.65,22.85,22.9,22.9,22.6,22.83
2y,19.3,19.5,19.25,19.4,19.45,19.4,19.45,19.4,19.5,19.25,19.40
3y,18.8,18.9,18.80,18.9,18.8,18.8,18.85,18.85,18.9,18.8,18.83
4y,16.25,16.75,16.35,16.2,16.25,16.15,16.2,16.2,16.75,16.15,16.24
5y,16.2,16.1,16.15,16.2,16.1,16.1,16.1,16.1,16.2,16.1,16.13
6y,16.1,15.75,15.60,15.79,15.7,15.65,15.7,15.75,16.1,15.6,15.72
7y,16,15.6,15.60,15.6,15.65,15.65,15.6,15.7,16,15.6,15.63
8y,15.9,15.5,15.60,15.5,15.5,15.55,15.5,15.6,15.9,15.5,15.54
9y,15.8,15.4,15.40,15.4,15.4,15.45,15.4,15.45,15.8,15.4,15.42
10y,15.8,15.35,15.40,15.4,15.4,15.4,15.35,15.45,15.8,15.35,15.40
15y,15.3,15.25,15.25,15.25,15.3,15.25,15.25,15.3,15.3,15.25,15.27
20y,15.3,15.25,15.25,15.25,15.3,15.25,15.25,15.3,15.3,15.25,15.27
