T-Bill & PIB Revaluation Rates Fixing,,,,,,,,,
T-Bill & PIB Revaluation Rates,,,,,,,,,
Updated at 17:15:00 Dated 2022-08-18,,,,,,,,,
,,,,,,,,,
userid,AHL,BMA,CEL,CMKA,ICON,IONE,MCPL,VCPL,Avg
0-7days,15.1,15.1,15.1,15.1,15.05,15.1,15.1,15.05,15.09
8-15days,15.05,15.1,15.1,15.1,15.05,15.1,15,15.05,15.08
16-30days,15.2,15.2,15.15,15.2,15.15,15.15,15.2,15.2,15.18
31-60days,15.4,15.45,15.45,15.45,15.45,15.45,15.5,15.45,15.45
61-90days,13.72,15.72,15.72,15.72,15.73,15.72,15.72,15.72,15.72
91-120days,15.8,15.8,15.8,15.8,15.77,15.76,15.8,15.77,15.79
121-180days,15.8,15.8,15.8,15.8,15.84,15.8,15.8,15.79,15.80
181-270days,15.85,15.85,15.85,15.85,15.87,15.85,15.85,15.85,15.85
271-365days,15.9,15.9,15.9,15.9,15.9,15.9,15.85,15.87,15.90
2years,13.15,13.1,13,13.1,13.6,13.1,13.1,13.1,13.11
3years,13.65,13.62,13.6,13.6,13.63,13.6,13.65,13.61,13.62
4years,13.2,13.15,13.15,13.15,13.23,13.1,13.15,13.15,13.16
5years,15.84,12.8,12.8,12.8,12.82,12.8,12.83,12.8,12.81
6years,12.75,12.7,12.6,12.65,12.74,12.72,12.7,12.65,12.69
7years,12.7,12.7,12.6,12.6,12.66,12.65,12.7,12.6,12.65
8years,12.65,12.6,12.6,12.6,12.58,12.6,12.7,12.5,12.61
9years,12.6,12.55,12.5,12.5,12.5,12.5,12.55,12.5,12.52
10years,12.55,12.55,12.6,12.55,12.75,12.55,15.55,12.5,12.59
15years,13.25,13.2,13.2,13.2,13.2,13.2,13.2,13.1,13.20
20years,13.45,13.4,13.4,13.4,13.45,13.4,13.4,13.3,13.41
