,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA  MC,PL,Avg Rate,
0-7days,22.4,22.1,22.25,22.15,22.4,22.2,0,22.35,22.27,
8-15days,22.35,22.2,22.25,22.2,22.2,22.2,0,22.15,22.21,
16-30days,22.3,22.3,22.35,22.25,22.2,22.3,0,22.2,22.27,
31-60days,22.55,22.75,22.7,22.5,22.7,22.6,0,22.65,22.64,
61-90days,23,23,22.97,22.95,22.99,22.99,0,22.99,22.99,
91-120days,23,23.05,22.98,22.95,22.99,22.98,0,22.99,22.99,
121-180days,23,23.05,22.99,22.95,22.99,22.99,0,22.99,22.99,
181-270days,23.05,23.1,23,22.95,22.99,22.99,0,23,23.01,
271-365days,23.1,23.1,23,22.95,23,23,0,23,23.02,
2years,19.95,20.25,20.6,20.15,20.4,20.2,0,22.4,20.32,
3years,19.75,19.75,19.7,19.5,19.75,19.75,0,19.75,19.74,
4years,17.4,17.75,17.3,17.2,17.35,17.5,0,17.35,17.38,
5years,16.99,17,16.9,16.6,16.45,16.8,0,16.45,16.75,
6years,16.95,16.7,16.8,16.5,16.45,16.7,0,16.45,16.63,
7years,16.92,16.5,16.75,16.85,16.4,16.7,0,16.4,16.64,
8years,16.89,16.25,16.5,16.5,16.4,16.5,0,16.4,16.46,
9years,16.86,16.15,16.3,16.2,16.25,16.25,0,16.25,16.25,
10years,16.85,16.1,16.1,16.1,16.1,16.2,0,16.1,16.12,
15years,15.3,15.75,15.4,15.4,15.35,15.4,0,15.35,15.38,
20years,15.3,15.75,15.4,15.35,15.35,15.4,0,15.35,15.37,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
8/18/2023,16:57 : P,KRV fo,r user re,uters,at REU,TERS,,,,
[Printed by,Refiniti,v Eiko,n],,,,,,P,age : 1
