PKRV 19-JULY-2023,,,,,,,,,,,
,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,Max,Min,Avg rate
1wk,21.6,21.8,21.65,21.75,21.5,21.5,21.75,21.5,21.8,21.5,21.63
2wk,22.1,22.1,21.90,21.9,21.8,21.8,22.05,21.7,22.1,21.7,21.93
1s,22.3,22.25,22.10,22.1,21.8,22,22.2,21.5,22.3,21.5,22.08
2s,22.75,22.7,22.70,22.55,22.7,22.7,22.65,22.7,22.75,22.55,22.69
3s,22.6,22.9,22.80,22.5,22.85,22.75,22.85,22.8,22.9,22.5,22.78
4s,22.8,22.93,22.85,22.6,22.9,22.8,22.9,22.9,22.93,22.6,22.86
6s,22.9,22.95,22.95,22.7,22.95,22.85,22.92,22.9,22.95,22.7,22.91
9s,22.9,22.95,22.98,22.8,22.95,22.9,22.95,22.9,22.98,22.8,22.93
1y,22.9,22.97,22.98,22.9,22.98,22.95,22.95,22.9,22.98,22.9,22.94
2y,19.5,19.6,19.45,19.4,19.45,19.6,19.5,19.4,19.6,19.4,19.48
3y,19.2,19,19.05,18.9,19.05,19,18.9,19.1,19.2,18.9,19.02
4y,16.5,16.8,16.90,16.2,16.5,16.45,16.3,16.5,16.9,16.2,16.51
5y,16.4,16.1,16.45,16.2,16.4,16.3,16.1,16.4,16.45,16.1,16.30
6y,16.25,15.8,15.80,15.75,15.85,15.8,15.75,15.85,16.25,15.75,15.81
7y,16.2,15.7,15.70,15.6,15.75,15.75,15.65,15.75,16.2,15.6,15.72
8y,16.1,15.6,15.60,15.5,15.6,15.65,15.6,15.65,16.1,15.5,15.62
9y,16,15.4,15.45,15.4,15.5,15.5,15.4,15.5,16,15.4,15.46
10y,16,15.35,15.45,15.4,15.5,15.5,15.35,15.5,16,15.35,15.45
15y,15.5,15.25,15.35,15.25,15.3,15.35,15.25,15.3,15.5,15.25,15.30
20y,15.5,15.25,15.35,15.25,15.3,15.35,15.25,15.3,15.5,15.25,15.30
