PKRV / 20-06-2023,,,,,,,,,,,
,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,Max,Min,Avg rate
1wk,21.75,21.6,21.3,21.5,21.35,21.5,21.6,21.4,21.75,21.3,21.49
2wk,21.55,21.5,21.4,21.5,21.45,21.45,21.5,21.5,21.55,21.4,21.48
1s,21.6,21.58,21.5,21.6,21.5,21.5,21.5,21.5,21.6,21.5,21.53
2s,21.75,21.78,21.7,21.8,21.7,21.7,21.77,21.65,21.8,21.65,21.73
3s,21.98,21.98,21.97,21.98,21.97,21.98,21.98,21.98,21.98,21.97,21.98
4s,21.98,21.99,21.98,21.98,21.97,21.98,21.98,21.98,21.99,21.97,21.98
6s,21.98,21.99,21.99,21.98,21.97,21.98,21.98,21.98,21.99,21.97,21.98
9s,21.98,21.99,21.99,21.98,21.97,21.98,21.98,21.98,21.99,21.97,21.98
1y,21.98,21.99,21.99,21.98,21.98,21.98,21.98,21.98,21.99,21.98,21.98
2y,19.4,19.6,19.6,19.2,19.6,19.6,19.6,19.6,19.6,19.2,19.57
3y,18.9,18.9,19.05,18.9,19.05,19.1,19,19.05,19.1,18.9,18.99
4y,15.6,15.6,15.7,15.7,15.65,15.65,15.65,15.6,15.7,15.6,15.64
5y,15.2,15,15.15,15.25,15.15,15.2,15,15.15,15.25,15,15.14
6y,15.15,15.06,15.1,15.15,15.1,15.05,15.05,15.1,15.15,15.05,15.09
7y,15.1,15.06,15.1,15.15,15.1,15.05,15.05,15.1,15.15,15.05,15.09
8y,15.05,15.08,15.1,15.1,15.1,15.05,15.05,15.1,15.1,15.05,15.08
9y,15.05,15.09,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.05,15.10
10y,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.10
15y,15.15,15.15,15.15,15.15,15.15,15.15,15.15,15.15,15.15,15.15,15.15
20y,15.15,15.15,15.15,15.15,15.15,15.15,15.15,15.15,15.15,15.15,15.15
