PKRV 20 July 2023,,,,,,,,,,,
,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,Max,Min,Avg rate
1wk,21.6,21.8,21.60,21.75,21.5,21.5,21.8,21.5,21.8,21.5,21.63
2wk,22.1,22.15,21.70,21.8,21.8,21.9,22.1,21.75,22.15,21.7,21.91
1s,22.3,22.3,21.80,22.1,21.9,22.1,22.25,21.9,22.3,21.8,22.09
2s,22.8,22.75,22.75,22.75,22.75,22.7,22.75,22.75,22.8,22.7,22.75
3s,22.85,22.91,22.80,22.8,22.8,22.8,22.85,22.8,22.91,22.8,22.82
4s,22.85,22.94,22.90,22.9,22.85,22.85,22.9,22.95,22.95,22.85,22.89
6s,22.9,22.95,22.95,22.9,22.95,22.9,22.92,22.95,22.95,22.9,22.93
9s,22.9,22.96,22.98,22.95,22.95,22.93,22.95,22.95,22.98,22.9,22.95
1y,22.9,22.98,22.98,22.95,22.98,22.95,22.95,22.95,22.98,22.9,22.96
2y,19.5,19.6,19.65,19.45,19.5,19.55,19.5,19.5,19.65,19.45,19.53
3y,19.2,19.1,19.25,19.05,19.2,19,19.05,19.2,19.25,19,19.13
4y,17.5,17,16.90,16.4,16.7,16.45,16.5,16.5,17.5,16.4,16.68
5y,16.5,16.25,16.45,16.3,16.5,16.3,16.25,16.25,16.5,16.25,16.34
6y,16.35,15.8,15.80,15.8,15.85,15.8,15.8,15.75,16.35,15.75,15.81
7y,16.3,15.7,15.70,15.75,15.75,15.75,15.7,15.7,16.3,15.7,15.73
8y,16.2,15.6,15.60,15.6,15.6,15.65,15.6,15.6,16.2,15.6,15.61
9y,16.1,15.4,15.45,15.5,15.5,15.5,15.45,15.45,16.1,15.4,15.48
10y,16.1,15.35,15.45,15.4,15.5,15.5,15.4,15.45,16.1,15.35,15.45
15y,15.5,15.25,15.35,15.25,15.3,15.35,15.25,15.3,15.5,15.25,15.30
20y,15.5,15.25,15.35,15.25,15.3,15.35,15.25,15.3,15.5,15.25,15.30
