11:09,20-Sep-23,FINANCIAL,MARKET,ASSOCIATION,PK01079,PKRV,,,,
Revaluation,Rates,for,T-Bills/PIBs/FIBs,Holding,APPLICABLE,FOR,21-Sep-23,,,
Note:Updation,of,Page/RICs,depends,on,data,availablity,from,source.<ALERTPKRFIX>,,
,,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,Avg Rate
,0-7days,0,21.25,21.4,21.4,21.4,21.25,21.4,21.4,21.37
,8-15days,0,21.5,21.5,21.7,21.5,21.65,21.6,21.6,21.57
,16-30days,0,21.75,21.8,21.85,21.9,21.8,21.85,21.85,21.83
,31-60days,0,22,22.1,22.05,22.2,22,22.1,22.1,22.07
,61-90days,0,22.5,22.5,22.5,22.53,22.5,22.52,22.5,22.5
,91-120days,0,22.8,22.7,22.75,22.8,22.75,22.75,22.8,22.77
,121-180days,0,22.9,22.9,22.9,22.9,22.85,22.9,22.9,22.9
,181-270days,0,22.95,22.95,22.95,22.95,22.9,22.95,22.9,22.94
,271-365days,0,23,22.98,23,23,22.95,22.95,22.95,22.98
,2years,0,21.5,20.95,21.75,21.9,21.75,21.7,21.9,21.72
,3years,0,19.6,19.65,20,19.5,19.75,19.65,19.6,19.65
,4years,0,18.8,17.4,18.5,18.7,18.25,18.5,18.65,18.52
,5years,0,17.4,17,17.25,17.1,17.25,17.2,17,17.16
,6years,0,17,16.7,16.8,16.6,16.75,16.75,16.8,16.76
,7years,0,16.95,16.5,16.6,16.3,16.55,16.5,16.5,16.53
,8years,0,16.85,16.3,16.4,16.3,16.45,16.4,16.4,16.39
,9years,0,16.65,16.2,16.3,16.1,16.3,16.3,16.3,16.28
,10years,0,16.5,16.1,16.1,15.95,16,16.1,16,16.06
,15years,0,15.3,15.5,15.3,15.35,15.3,15.35,15.3,15.32
,20years,0,15.3,15.5,15.3,15.35,15.3,15.35,15.3,15.32
