,AHL,,ALFA,,BCAP,,BMA,C&M,CEL,CMKA,MCPL,Max,,Min,,Avg rate,
1wk,21.6,,21.7,,21.5,,21.25,21.4,21.4,21.7,21.35,21.7,,21.25,,21.49,
2wk,22.1,,21.9,,21.7,,21.9,21.8,21.75,21.9,21.8,22.1,,21.7,,21.84,
1s,22.25,,22.35,,22,,22.3,21.9,21.9,22.3,21.9,22.35,,21.9,,22.11,
2s,22.8,,22.8,,22.75,,22.8,22.8,22.7,22.8,22.8,22.8,,22.7,,22.79,
3s,22.85,,22.85,,22.85,,22.9,22.85,22.8,22.85,22.85,22.9,,22.8,,22.85,
4s,22.9,,22.94,,22.95,,22.9,22.9,22.85,22.92,22.9,22.95,,22.85,,22.91,
6s,22.9,,22.95,,22.98,,22.95,22.95,22.9,22.95,22.95,22.98,,22.9,,22.94,
9s,22.95,,22.96,,23,,22.95,22.99,22.93,22.95,22.95,23,,22.93,,22.96,
1y,22.95,,22.98,,23,,22.95,23,22.95,22.95,23,23,,22.95,,22.97,
2y,20.15,,20.25,,20,,20.15,20,20,20.15,20.1,20.25,,20,,20.09,
3y,19.3,,19.2,,19.25,,19.25,19.25,19.2,19.2,19.25,19.3,,19.2,,19.23,
4y,18,,18,,17.6,,18,18,18,18,18,18,,17.6,,18,
5y,16.7,,16.65,,16.7,,16.7,16.7,16.7,16.65,16.7,16.7,,16.65,,16.69,
6y,16.6,,16.3,,15.9,,16.2,16,16,16.3,16,16.6,,15.9,,16.13,
7y,16.5,,16.25,,15.8,,16.2,15.9,15.9,16.2,15.95,16.5,,15.8,,16.07,
8y,16.4,,16.2,,15.7,,16,15.8,15.75,16.1,15.75,16.4,,15.7,,15.93,
9y,16.3,,16.15,,15.6,,16,15.6,15.6,16.1,15.65,16.3,,15.6,,15.85,
10y,16.2,,16.1,,15.5,,15.75,15.5,15.6,16,15.5,16.2,,15.5,,15.74,
15y,15.5,,15.5,,15.35,,15.4,15.35,15.35,15.5,15.4,15.5,,15.35,,15.42,
20y,15.5,,15.5,,15.35,,15.3,15.35,15.35,15.5,15.4,15.5,,15.3,,15.41,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
