                                        FMA - REVALUATION RATES                                                                                                  
                                                                                                                                                                 
                                                                                                                                                                 
Revaluation Rates for T-Bills/PIBs/FIBs Holding                  APPLICABLE FOR 24NOV23                                                                          
                                                                                                                                                                 
Note:Updation of Page/RICs depends on data availablity from source.<ALERTPKRFIX>                                       Info Page : <PKNOTES>                     
TENOR                  AHL        ALFA        BCAP        BMA         C&M         CEL        CMKA        MCPL       FMAP     DATE       TIME                     
0-7days               22.20       22.00       22.40       22.00      21.90       22.00       22.00       21.95      22.03   23NOV23     17:46                    
                                                                                                                                                                 
8-15days              22.10       21.90       22.00       21.95      21.90       22.00       21.95       21.90      21.95   23NOV23     17:46                    
16-30days             22.00       21.85       21.90       21.85      21.90       22.00       21.90       21.90      21.91   23NOV23     17:46                    
31-60days             21.50       21.55       21.60       21.45      21.40       21.45       21.40       21.44      21.47   23NOV23     17:46                    
61-90days             21.20       21.30       21.25       21.20      21.20       21.25       21.20       21.21      21.22   23NOV23     17:46                    
                                                                                                                                                                 
91-120days            21.20       21.30       21.20       21.15      21.25       21.20       21.25       21.23      21.22   23NOV23     17:46                    
121-180days           21.20       21.30       21.25       21.20      21.25       21.15       21.25       21.23      21.23   23NOV23     17:46                    
181-270days           21.15       21.15       21.20       21.10      21.20       21.15       21.20       21.18      21.17   23NOV23     17:46                    
271-365days           21.10       21.10       21.10       21.10      21.10       21.15       21.10       21.12      21.10   23NOV23     17:46                    
                                                                                                                                                                 
2years                18.40       18.75       18.75       18.50      18.50       18.50       18.60       18.55      18.57   23NOV23     17:46                    
3years                16.65       16.55       16.60       16.70      16.55       16.55       16.55       16.55      16.58   23NOV23     17:46                    
4years                16.10       16.20       16.00       15.90      16.00       16.00       16.00       16.00      16.02   23NOV23     17:46                    
5years                16.00       16.00       15.70       15.85      15.90       15.85       15.85       15.85      15.88   23NOV23     17:46                    
                                                                                                                                                                 
6years                15.50       15.30       15.60       15.50      15.50       15.50       15.50       15.45      15.49   23NOV23     17:46                    
7years                15.40       15.25       15.40       15.35      15.35       15.35       15.35       15.30      15.35   23NOV23     17:46                    
8years                15.30       15.20       15.30       15.20      15.15       15.25       15.25       15.10      15.23   23NOV23     17:46                    
9years                15.20       15.20       15.20       15.10      15.05       15.00       15.10       15.10      15.13   23NOV23     17:46                    
                                                                                                                                                                 
10years               15.10       15.05       15.10       14.95      14.75       14.95       14.95       14.75      14.96   23NOV23     17:46                    
15years               15.00       15.05       15.00       14.80      14.50       14.80       14.75       14.50      14.81   23NOV23     17:46                    
20years               14.90       14.95       15.00       14.80      14.50       14.80       14.75       14.50      14.78   23NOV23     17:46                    
































11/23/2023 18:08 : PKRV= for user reuters at REUTERS
[Printed by Refinitiv Eikon]                                            Page : 1
