,,,,,,,,,
,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,Avg Rate
0-7days,21.75,21.8,21.8,21.85,21.8,21.8,21.85,21.7,21.8
8-15days,21.7,21.75,21.75,21.8,21.75,21.7,21.75,21.7,21.73
16-30days,21.65,21.7,21.7,21.75,21.65,21.7,21.65,21.75,21.69
31-60days,21.65,21.65,21.65,21.65,21.65,21.7,21.65,21.65,21.65
61-90days,21.6,21.55,21.6,21.6,21.6,21.65,21.6,21.6,21.6
91-120days,21.6,21.65,21.7,21.7,21.6,21.7,21.6,21.7,21.66
121-180days,21.6,21.65,21.7,21.7,21.65,21.7,21.65,21.6,21.66
181-270days,21.7,21.62,21.75,21.7,21.67,21.75,21.65,21.73,21.7
271-365days,21.7,21.6,21.75,21.7,21.7,21.75,21.7,21.65,21.7
2years,19.4,19.35,19.6,19.4,19.4,19.4,19.4,19.45,19.41
3years,17.9,17.8,17.8,17.75,17.75,17.75,17.8,17.8,17.78
4years,16.25,16,15.5,15.6,15.4,15.5,15.6,15.6,15.63
5years,15.5,15.5,15.45,15.5,15.3,15.45,15.45,15.4,15.46
6years,15.45,15.45,15.4,15.4,15.2,15.4,15.4,15.4,15.41
7years,15.45,15.45,15.3,15.4,15.15,15.35,15.35,15.3,15.36
8years,15.4,15.35,15.2,15.3,15.15,15.3,15.3,15.3,15.29
9years,15.35,15.3,15.1,15.2,15.1,15.2,15.2,15.2,15.2
10years,15.25,15.25,15,15.2,15.05,15.15,15.15,15.2,15.17
15years,15.1,15.1,14.9,15.1,15,15.05,15.1,15.1,15.08
20years,15,15,14.9,15,15,15.05,15.1,15.1,15.03
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
10/26/2023,17:14 : P,KRV for,user re,uters,at REU,TERS,,,
[Printed by,Refiniti,v Eikon,],,,,,,Page : 1
