Revaluation,Rates,for,T-Bills/PIBs/FIBs,Holding,APPLICABLE,FOR,28-Feb-24,,,,,
,,,,,,,,,,,,
Note:Updation,of,Page/RICs,depends,on,data,availablity,from,source.<ALERTPKRFIX>,Info,Page,:,<PKNOTES>
TENOR,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,FMAP,DATE,TIME,
0-7days,22,21.75,21.6,21.8,21.75,21.7,21.75,21.75,21.75,27-Feb-24,16:28,
,,,,,,,,,,,,
8-15days,21.5,21.15,21.2,21.25,21,21.1,21.15,21,21.14,27-Feb-24,16:28,
16-30days,21.2,21.1,21.15,21.2,21.05,21,21.1,21.05,21.11,27-Feb-24,16:28,
31-60days,21.2,21.2,21.2,21.25,21.1,21.1,21.15,21.1,21.16,27-Feb-24,16:28,
61-90days,21.25,21.15,21.2,21.25,21.2,21.1,21.2,21.2,21.2,27-Feb-24,16:28,
,,,,,,,,,,,,
91-120days,21.5,21.45,21.35,21.4,21.45,21.4,21.45,21.45,21.43,27-Feb-24,16:28,
121-180days,21.55,21.55,21.5,21.5,21.5,21.55,21.5,21.5,21.52,27-Feb-24,16:28,
181-270days,21.25,21.25,21.4,21.25,21.25,21.25,21.25,21.25,21.25,27-Feb-24,16:28,
271-365days,20.7,20.7,20.95,20.6,20.5,20.5,20.5,20.6,20.6,27-Feb-24,16:28,
,,,,,,,,,,,,
2years,17.5,17.5,17.75,17.5,17.5,17.5,17.5,17.55,17.51,27-Feb-24,16:28,
3years,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.85,16.9,27-Feb-24,16:28,
4years,16.4,16.6,16.4,16.6,16.5,16.55,16.55,16.5,16.52,27-Feb-24,16:28,
5years,15.5,15.65,15.7,15.65,15.6,15.6,15.6,15.6,15.62,27-Feb-24,16:28,
,,,,,,,,,,,,
6years,15,15.25,15.4,15.25,15.25,15.25,15.25,15.25,15.25,27-Feb-24,16:28,
7years,14.9,15,15.1,15,15,14.95,15,15,14.99,27-Feb-24,16:28,
8years,14.75,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,27-Feb-24,16:28,
9years,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,27-Feb-24,16:28,
,,,,,,,,,,,,
10years,14.15,14.4,14.3,14.4,14.3,14.4,14.4,14.3,14.35,27-Feb-24,16:28,
15years,14,14.2,14.2,14.1,14.1,14.1,14.15,14.1,14.13,27-Feb-24,16:28,
20years,14,14.15,14.05,14.1,14.05,14.05,14.05,14.05,14.06,27-Feb-24,16:28,
