PKRV / 27-06-2023,,,,,,,,,,,
,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,Max,Min,Avg rate
1wk,22,22.5,22.50,22.5,22.5,22.2,22.5,22.6,22.6,22,22.45
2wk,22.2,22.5,22.25,22.2,22.25,22.3,22.4,22.2,22.5,22.2,22.27
1s,22.4,22.3,22.35,22.25,22.4,22.4,22.4,22.3,22.4,22.25,22.36
2s,22.5,22.6,22.60,22.45,22.5,22.4,22.5,22.5,22.6,22.4,22.51
3s,22.6,22.9,22.70,22.75,22.55,22.5,22.6,22.7,22.9,22.5,22.65
4s,22.8,22.92,22.85,22.85,22.7,22.9,22.75,22.9,22.92,22.7,22.84
6s,22.8,22.94,22.90,22.9,22.75,22.95,22.8,22.9,22.95,22.75,22.87
9s,22.9,22.94,22.95,22.9,22.8,22.95,22.8,22.9,22.95,22.8,22.90
1y,22.9,22.95,22.95,22.9,22.9,22.95,22.9,22.95,22.95,22.9,22.93
2y,19.6,20,19.80,19.6,19.7,19.75,19.7,19.6,20,19.6,19.69
3y,19.4,19.5,19.50,19.45,19.45,19.4,19.5,19.5,19.5,19.4,19.47
4y,16.5,17,16.60,16.4,16.5,16.35,16.5,16.5,17,16.35,16.50
5y,16.3,16,16.10,16.1,16.1,16,16.1,16.1,16.3,16,16.08
6y,15.9,15.6,15.65,15.5,15.7,15.6,15.65,15.7,15.9,15.5,15.65
7y,15.75,15.35,15.50,15.3,15.5,15.6,15.5,15.2,15.75,15.2,15.46
8y,15.6,15.25,15.40,15.25,15.3,15.6,15.25,15.25,15.6,15.25,15.34
9y,15.35,15.22,15.40,15.25,15.3,15.5,15.25,15.25,15.5,15.22,15.30
10y,15.35,15.2,15.40,15.25,15.35,15.5,15.3,15.25,15.5,15.2,15.32
15y,15.15,15.15,15.35,15.3,15.35,15.5,15.3,15.25,15.5,15.15,15.28
20y,15.15,15.15,15.35,15.3,15.35,15.5,15.3,15.25,15.5,15.15,15.28
