,,,,,,,,,
,,,,,,,,,
,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,Avg Rate
0-7days,21.75,21.9,21.8,21.9,22,21.9,0,21.9,21.88
8-15days,21.7,21.85,21.75,21.8,22,21.7,0,22,21.82
16-30days,21.65,21.65,21.7,21.7,21.6,21.65,0,21.7,21.67
31-60days,21.65,21.6,21.65,21.7,21.6,21.6,0,21.6,21.62
61-90days,21.6,21.55,21.6,21.6,21.55,21.6,0,21.6,21.59
91-120days,21.6,21.6,21.7,21.7,21.6,21.65,0,21.6,21.63
121-180days,21.6,21.6,21.7,21.7,21.65,21.65,0,21.6,21.64
181-270days,21.7,21.65,21.75,21.7,21.67,21.65,0,21.65,21.67
271-365days,21.7,21.65,21.75,21.7,21.7,21.6,0,21.65,21.68
2years,19.4,19.35,19.5,19.4,19.4,21.6,0,19.41,19.42
3years,17.9,17.8,17.8,17.75,17.75,17.75,0,17.8,17.78
4years,16.25,16,15.5,15.6,15.4,15.5,0,15.6,15.64
5years,15.5,15.5,15.45,15.5,15.3,15.45,0,15.4,15.46
6years,15.45,15.45,15.4,15.4,15.2,15.4,0,15.4,15.41
7years,15.45,15.45,15.3,15.4,15.15,15.35,0,15.3,15.36
8years,15.4,15.35,15.2,15.3,15.15,15.3,0,15.3,15.29
9years,15.35,15.3,15.1,15.2,15.1,15.2,0,15.2,15.2
10years,15.25,15.25,15,15.2,15.05,15.15,0,15.2,15.17
15years,15.1,15.1,14.9,15.1,15,15.05,0,15.1,15.07
20years,15,15,14.9,15,15,15.05,0,15.1,15.01
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
10/27/2023,17:01,PKRV for,user re,uters,at REU,TERS,,,
[Printed by,Refinit,iv Eikon,],,,,,,Page : 1
