,FMA,-,REVALUATION,RATES,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Revaluation,Rates,for,T-Bills/PIBs/FIBs,Holding,APPLICABLE,FOR,1-Apr-24,,,,,
,,,,,,,,,,,,
Note:Updation,of,Page/RICs,depends,on,data,availablity,from,source.<ALERTPKRFIX>,Info,Page,:,<PKNOTES>
TENOR,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,FMAP,DATE,TIME,
0-7days,22,22.15,22,22,22,22,22,22,22,29-Mar-24,12:08,
,,,,,,,,,,,,
8-15days,22,22.05,21.95,22,22,21.95,22,22,21.99,29-Mar-24,12:08,
16-30days,21.9,22,21.9,21.95,22,21.95,22,22,21.97,29-Mar-24,12:08,
31-60days,21.75,22,21.85,21.95,22,21.95,21.95,22,21.95,29-Mar-24,12:08,
61-90days,21.65,21.7,21.72,21.7,21.75,21.7,21.75,21.75,21.72,29-Mar-24,12:08,
,,,,,,,,,,,,
91-120days,21.5,21.7,21.7,21.8,21.85,21.8,21.8,21.85,21.78,29-Mar-24,12:08,
121-180days,21.4,21.45,21.55,21.55,21.6,21.55,21.55,21.6,21.54,29-Mar-24,12:08,
181-270days,21.2,21.55,21.45,21.55,21.65,21.55,21.55,21.65,21.55,29-Mar-24,12:08,
271-365days,20.6,20.7,20.75,20.7,20.75,20.8,20.75,20.7,20.73,29-Mar-24,12:08,
,,,,,,,,,,,,
2years,17.5,17.2,17.4,17.15,17.15,17.25,17.2,17.1,17.23,29-Mar-24,12:08,
3years,16.65,16.8,16.8,16.7,16.7,16.85,16.7,16.75,16.74,29-Mar-24,12:08,
4years,16.4,16.3,16.4,16.2,16.2,16.3,16.3,16.25,16.29,29-Mar-24,12:08,
5years,15.4,15.55,15.55,15.55,15.65,15.55,15.6,15.6,15.57,29-Mar-24,12:08,
,,,,,,,,,,,,
6years,15,15.2,15.2,15.15,15.15,15.15,15.15,15.1,15.15,29-Mar-24,12:08,
7years,14.9,15,15,14.9,14.9,14.95,14.95,14.85,14.93,29-Mar-24,12:08,
8years,14.75,14.8,14.75,14.75,14.7,14.75,14.75,14.75,14.75,29-Mar-24,12:08,
9years,14.45,14.6,14.5,14.3,14.35,14.4,14.4,14.3,14.4,29-Mar-24,12:08,
,,,,,,,,,,,,
10years,14.2,14.4,14.25,14.15,14.2,14.2,14.2,14.25,14.22,29-Mar-24,12:08,
15years,14.05,14.2,14.1,14.1,14.1,14.1,14.1,14.1,14.1,29-Mar-24,12:08,
20years,14,14.1,14,14.05,14,14.05,14,14,14.02,29-Mar-24,12:08,
