Revaluation,Rates,for,T-Bills/PIBs/FIBs,Holding,APPLICABLE,FOR,1-Dec-23,,
,,,,,,,,,
Note:Updation,of,Page/RICs,depends,on,data,availablity,from,source.<ALERTPKRFIX>,Info
TENOR,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,FMAP
0-7days,22.5,22,22.25,22.1,22,22.1,22,22,22.08
,,,,,,,,,
8-15days,22.25,22.25,22,22.05,22.2,22.2,22.15,22.2,22.18
16-30days,22,21.8,21.9,21.9,21.9,22,21.9,21.9,21.92
31-60days,21.65,21.5,21.6,21.65,21.75,21.7,21.7,21.75,21.68
61-90days,21.35,21.35,21.25,21.27,21.35,21.3,21.35,21.35,21.33
,,,,,,,,,
91-120days,21.35,21.3,21.3,21.28,21.35,21.35,21.3,21.35,21.33
121-180days,21.3,21.4,21.3,21.3,21.35,21.35,21.3,21.35,21.33
181-270days,21.3,21.35,21.3,21.3,21.35,21.3,21.3,21.35,21.32
271-365days,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3
,,,,,,,,,
2years,18.3,18.5,18.25,18.5,18.5,18.5,18.5,18.5,18.47
3years,16.5,16.5,16.45,16.5,16.5,16.5,16.5,16.55,16.5
4years,16.1,16.2,16,16,16,16,16,16,16.02
5years,16,16,15.7,15.85,15.9,15.9,15.9,15.85,15.9
,,,,,,,,,
6years,15.5,15.3,15.5,15.5,15.5,15.5,15.5,15.45,15.49
7years,15.4,15.25,15.4,15.35,15.35,15.35,15.35,15.3,15.35
8years,15.3,15.2,15.3,15.2,15.15,15.2,15.2,15.1,15.21
9years,15.2,15.2,15.2,15.1,15.05,15.1,15.1,15.05,15.13
,,,,,,,,,
10years,15.1,15.05,15.1,14.95,14.8,14.95,14.95,14.75,14.97
15years,15,15.05,15,14.8,14.5,14.8,14.8,14.5,14.82
20years,14.9,14.95,15,14.8,14.5,14.8,14.8,14.5,14.79
