TENOR,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,FMAP,DATE,TIME
0-7days,21.8,21.9,21.9,21.9,21.9,21.8,21.85,21.8,21.86,31-Oct-23,16:26
,,,,,,,,,,,
8-15days,21.7,21.85,21.8,21.85,21.9,21.65,21.7,21.9,21.8,31-Oct-23,16:26
16-30days,21.7,21.6,21.7,21.65,21.5,21.65,21.7,21.65,21.66,31-Oct-23,16:26
31-60days,21.75,21.7,21.7,21.6,21.65,21.7,21.65,21.65,21.68,31-Oct-23,16:26
61-90days,21.65,21.8,21.65,21.6,21.65,21.7,21.6,21.65,21.65,31-Oct-23,16:26
,,,,,,,,,,,
91-120days,21.6,21.82,21.65,21.6,21.7,21.7,21.6,21.6,21.64,31-Oct-23,16:26
121-180days,21.65,21.85,21.7,21.6,21.7,21.7,21.75,21.7,21.7,31-Oct-23,16:26
181-270days,21.7,21.87,21.7,21.65,21.7,21.7,21.75,21.8,21.73,31-Oct-23,16:26
271-365days,21.75,21.9,21.7,21.7,21.8,21.7,21.8,21.8,21.76,31-Oct-23,16:26
,,,,,,,,,,,
2years,19.2,19.35,19.5,19.5,19.4,19.4,19.4,19.4,19.41,31-Oct-23,16:26
3years,17.6,17.8,17.8,18,18,17.75,17.75,17.8,17.82,31-Oct-23,16:26
4years,16.2,16,15.5,15.6,15.45,15.4,15.6,15.65,15.63,31-Oct-23,16:26
5years,15.5,15.5,15.45,15.5,15.35,15.4,15.45,15.45,15.46,31-Oct-23,16:26
,,,,,,,,,,,
6years,15.45,15.45,15.4,15.4,15.25,15.4,15.4,15.4,15.41,31-Oct-23,16:26
7years,15.4,15.45,15.35,15.4,15.2,15.35,15.35,15.4,15.38,31-Oct-23,16:26
8years,15.35,15.35,15.25,15.3,15.15,15.3,15.3,15.3,15.3,31-Oct-23,16:26
9years,15.3,15.3,15.15,15.2,15.1,15.2,15.2,15.2,15.21,31-Oct-23,16:26
,,,,,,,,,,,
10years,15.2,15.25,15.1,15.2,15.05,15.15,15.15,15.1,15.15,31-Oct-23,16:26
15years,15.1,15.1,15,15.1,15,15.05,15.05,15,15.05,31-Oct-23,16:26
20years,15,15,15,15,15,15.05,15,15,15,,
